time, /cpu_monitor cpu, /record_1691084780702305636 cpu, /rosout cpu
1691084790678020954, 2.900000, 0.000000, 0.000000
1691084791709189891, 2.900000, 0.000000, 0.000000
1691084792739651918, 2.900000, 0.000000, 0.000000
1691084793771089076, 1.900000, 1.000000, 0.000000
1691084794801620006, 2.900000, 0.000000, 0.000000
1691084795832653045, 2.900000, 1.900000, 1.000000
1691084796863240957, 1.900000, 0.000000, 0.000000
1691084797894882917, 2.900000, 0.000000, 1.000000
1691084798925625085, 2.900000, 1.900000, 0.000000
1691084799957572937, 2.900000, 0.000000, 0.000000
1691084800987412929, 1.900000, 1.000000, 0.000000
1691084802018060922, 2.900000, 0.000000, 0.000000
1691084803048423051, 2.900000, 0.000000, 0.000000
1691084804079063892, 2.900000, 1.000000, 0.000000
1691084805109940052, 2.900000, 0.000000, 0.000000
1691084806140428066, 2.900000, 1.900000, 0.000000
1691084807159535884, 1.000000, 0.000000, 0.000000
1691084808173757076, 2.000000, 0.000000, 2.000000
1691084809188718080, 1.000000, 0.000000, 0.000000
1691084810203514099, 1.000000, 0.000000, 0.000000
1691084811217355966, 2.000000, 1.000000, 0.000000
1691084812231786966, 1.000000, 0.000000, 0.000000
1691084813246133089, 1.000000, 1.000000, 0.000000
1691084814260627031, 2.000000, 0.000000, 0.000000
1691084815634392976, 5.800000, 6.600000, 1.500000
1691084817535984992, 9.600000, 35.000000, 0.500000
1691084818682785987, 2.600000, 34.600000, 0.000000
1691084819984467983, 7.000000, 37.100000, 0.800000
1691084821478171110, 7.300000, 36.700000, 0.700000
1691084822667649984, 5.900000, 39.500000, 0.000000
1691084823768292903, 5.400000, 34.200000, 0.000000
1691084824973531961, 5.800000, 36.600000, 1.700000
1691084826077853918, 5.400000, 39.700000, 0.000000
1691084827206084012, 4.500000, 35.500000, 0.000000
1691084828312220096, 6.300000, 37.900000, 0.900000
1691084829438508987, 5.400000, 36.600000, 0.900000
1691084830587596893, 6.100000, 38.300000, 0.000000
1691084831715998888, 4.400000, 38.900000, 0.900000
1691084832828453063, 5.400000, 37.700000, 0.900000
1691084833935173034, 5.400000, 35.300000, 0.900000
1691084835036358118, 4.500000, 37.100000, 0.900000
1691084836145729064, 5.400000, 36.100000, 0.000000
1691084837264931917, 4.500000, 34.100000, 0.000000
1691084838356890916, 5.500000, 35.600000, 0.900000
1691084839554666042, 5.900000, 37.700000, 0.800000
1691084840678354978, 5.300000, 39.100000, 0.900000
1691084841863466978, 5.100000, 33.900000, 0.000000
