time, /cpu_monitor mem, /record_1691084780702305636 mem, /rosout mem
1691084790678020954, 38531072.000000, 25407488.000000, 17072128.000000
1691084791709189891, 38531072.000000, 25407488.000000, 17072128.000000
1691084792739651918, 38531072.000000, 25407488.000000, 17072128.000000
1691084793771089076, 38531072.000000, 25407488.000000, 17072128.000000
1691084794801620006, 38531072.000000, 25407488.000000, 17072128.000000
1691084795832653045, 38531072.000000, 25407488.000000, 17072128.000000
1691084796863240957, 38531072.000000, 25407488.000000, 17072128.000000
1691084797894882917, 38531072.000000, 25407488.000000, 17072128.000000
1691084798925625085, 38531072.000000, 25407488.000000, 17072128.000000
1691084799957572937, 38531072.000000, 25407488.000000, 17072128.000000
1691084800987412929, 38531072.000000, 25407488.000000, 17072128.000000
1691084802018060922, 38531072.000000, 25407488.000000, 17072128.000000
1691084803048423051, 38531072.000000, 25407488.000000, 17072128.000000
1691084804079063892, 38531072.000000, 25407488.000000, 17072128.000000
1691084805109940052, 38531072.000000, 25407488.000000, 17072128.000000
1691084806140428066, 38531072.000000, 25407488.000000, 17072128.000000
1691084807159535884, 38531072.000000, 25407488.000000, 17072128.000000
1691084808173757076, 38531072.000000, 25407488.000000, 17072128.000000
1691084809188718080, 38531072.000000, 25407488.000000, 17072128.000000
1691084810203514099, 38531072.000000, 25407488.000000, 17072128.000000
1691084811217355966, 38531072.000000, 25407488.000000, 17072128.000000
1691084812231786966, 38531072.000000, 25407488.000000, 17072128.000000
1691084813246133089, 38531072.000000, 25407488.000000, 17072128.000000
1691084814260627031, 38531072.000000, 25407488.000000, 17072128.000000
1691084815634392976, 38563840.000000, 25407488.000000, 17072128.000000
1691084817535984992, 38666240.000000, 25706496.000000, 17072128.000000
1691084818682785987, 38666240.000000, 25862144.000000, 17072128.000000
1691084819984467983, 38711296.000000, 26128384.000000, 17072128.000000
1691084821478171110, 38731776.000000, 26210304.000000, 17072128.000000
1691084822667649984, 38744064.000000, 26210304.000000, 17072128.000000
1691084823768292903, 38748160.000000, 26210304.000000, 17072128.000000
1691084824973531961, 38764544.000000, 26402816.000000, 17072128.000000
1691084826077853918, 38789120.000000, 26402816.000000, 17072128.000000
1691084827206084012, 38789120.000000, 26402816.000000, 17072128.000000
1691084828312220096, 38789120.000000, 26402816.000000, 17072128.000000
1691084829438508987, 38789120.000000, 26402816.000000, 17072128.000000
1691084830587596893, 38789120.000000, 26402816.000000, 17072128.000000
1691084831715998888, 38789120.000000, 26402816.000000, 17072128.000000
1691084832828453063, 38789120.000000, 26402816.000000, 17072128.000000
1691084833935173034, 38789120.000000, 26923008.000000, 17072128.000000
1691084835036358118, 38789120.000000, 26923008.000000, 17072128.000000
1691084836145729064, 38789120.000000, 26923008.000000, 17072128.000000
1691084837264931917, 38789120.000000, 26923008.000000, 17072128.000000
1691084838356890916, 38789120.000000, 26923008.000000, 17072128.000000
1691084839554666042, 38789120.000000, 26923008.000000, 17072128.000000
1691084840678354978, 38789120.000000, 26923008.000000, 17072128.000000
1691084841863466978, 38789120.000000, 26923008.000000, 17072128.000000
1691084842983923912, 38789120.000000, 26923008.000000, 17072128.000000
1691084844153029918, 38789120.000000, 26923008.000000, 17072128.000000
1691084845314007043, 38789120.000000, 26923008.000000, 17072128.000000
1691084846439402103, 38789120.000000, 26923008.000000, 17072128.000000
1691084847577584981, 38789120.000000, 26923008.000000, 17072128.000000
1691084848703064918, 38789120.000000, 26923008.000000, 17072128.000000
1691084849878357887, 38789120.000000, 26923008.000000, 17072128.000000
1691084851014828920, 38789120.000000, 26923008.000000, 17072128.000000
1691084852140914916, 38789120.000000, 26923008.000000, 17072128.000000
1691084853228580951, 38789120.000000, 26923008.000000, 17072128.000000
1691084854313343048, 38789120.000000, 26923008.000000, 17072128.000000
