time, /cpu_monitor cpu, /rosout cpu, /record_1691084749065008229 cpu
1691084759391259908, 3.800000, 0.000000, 0.000000
1691084760421603918, 2.900000, 0.000000, 0.000000
1691084761451441049, 1.900000, 1.000000, 1.900000
1691084762482414960, 2.900000, 0.000000, 0.000000
1691084763513103961, 2.900000, 0.000000, 0.000000
1691084764542047023, 1.900000, 0.000000, 1.000000
1691084765572237014, 2.900000, 0.000000, 0.000000
1691084766603178977, 1.900000, 1.000000, 1.000000
1691084767633512020, 3.900000, 0.000000, 0.000000
1691084768665158033, 2.900000, 0.000000, 1.000000
1691084769697436094, 2.900000, 0.000000, 0.000000
1691084770727930068, 2.900000, 0.000000, 1.000000
1691084771756628990, 1.900000, 1.000000, 0.000000
1691084772787030935, 2.900000, 0.000000, 1.000000
1691084773817643880, 2.900000, 0.000000, 0.000000
1691084774848943948, 2.900000, 0.000000, 1.900000
1691084775879374027, 2.900000, 0.000000, 0.000000
1691084776910332918, 1.900000, 1.000000, 0.000000
1691084777941148996, 1.900000, 0.000000, 1.000000
1691084778969825029, 2.900000, 0.000000, 0.000000
1691084779994524002, 2.000000, 0.000000, 1.000000
1691084781025765895, 2.900000, 0.000000, 1.000000
1691084782057358026, 3.900000, 1.000000, 0.000000
1691084783087868928, 1.900000, 0.000000, 1.000000
1691084784118474960, 2.900000, 0.000000, 0.000000
1691084785149455070, 2.900000, 0.000000, 0.000000
1691084786165676116, 2.000000, 0.000000, 2.000000
1691084787180110931, 1.000000, 0.000000, 0.000000
1691084788195456981, 1.000000, 1.000000, 0.000000
1691084789210715055, 1.000000, 0.000000, 0.000000
1691084790225482940, 2.000000, 0.000000, 0.000000
1691084791239896059, 1.000000, 1.000000, 1.000000
1691084792254235982, 1.000000, 0.000000, 0.000000
1691084793268233060, 1.000000, 0.000000, 0.000000
1691084795572556018, 8.800000, 0.900000, 27.700000
1691084796853307962, 5.500000, 1.600000, 31.300000
1691084797949776887, 3.600000, 0.000000, 36.900000
1691084799349879980, 7.900000, 0.700000, 31.600000
1691084800511934041, 6.800000, 0.000000, 37.700000
1691084801640116930, 4.500000, 0.900000, 34.900000
1691084802789084911, 6.000000, 0.900000, 35.000000
1691084803876313924, 4.600000, 0.000000, 33.100000
1691084804983972072, 5.400000, 0.000000, 35.300000
1691084806071787118, 5.500000, 0.000000, 35.800000
1691084807204443931, 4.400000, 0.000000, 35.600000
1691084808390719890, 6.800000, 0.800000, 36.400000
1691084809533734083, 5.200000, 0.000000, 37.400000
1691084810634145975, 5.500000, 1.800000, 35.500000
1691084811727471113, 4.600000, 0.000000, 34.700000
1691084812835567951, 5.400000, 0.900000, 36.100000
1691084813970628976, 4.400000, 0.900000, 38.000000
1691084815118304014, 5.200000, 0.000000, 36.700000
1691084816246742010, 5.300000, 0.000000, 34.500000
1691084817374830961, 5.300000, 1.800000, 37.100000
1691084818518811941, 5.300000, 0.000000, 36.800000
1691084819694864988, 6.000000, 0.000000, 34.200000
1691084820847343921, 5.200000, 1.700000, 34.400000
1691084821976213932, 4.500000, 0.000000, 34.900000
1691084823174010992, 6.700000, 0.800000, 34.100000
1691084824315887928, 4.400000, 0.900000, 38.600000
1691084825474047899, 6.000000, 1.700000, 36.800000
1691084826565489053, 3.700000, 0.900000, 36.800000
1691084827680589914, 6.300000, 0.000000, 38.600000
1691084828813165903, 5.300000, 1.800000, 37.200000
1691084829901253938, 5.500000, 0.000000, 39.300000
1691084831028871059, 5.300000, 1.800000, 33.900000
1691084832167143106, 5.300000, 0.000000, 37.800000
1691084833268824100, 5.400000, 1.800000, 38.800000
1691084834397587060, 5.300000, 0.000000, 35.500000
1691084835519377946, 5.300000, 0.900000, 38.300000
1691084836633341073, 4.500000, 1.800000, 35.000000
1691084837735600948, 6.300000, 0.000000, 36.200000
1691084838859721899, 5.300000, 0.900000, 37.500000
1691084839955394029, 5.500000, 0.000000, 38.200000
1691084841088815927, 4.400000, 0.900000, 37.200000
1691084842227742910, 5.300000, 0.900000, 33.500000
1691084843347172975, 5.300000, 0.000000, 34.600000
1691084844511121034, 5.200000, 0.900000, 37.200000
1691084845621787071, 5.400000, 0.000000, 38.600000
1691084846768665075, 6.100000, 1.700000, 36.500000
1691084847899379014, 4.400000, 0.000000, 33.600000
1691084849025085926, 5.300000, 1.800000, 34.800000
1691084850200300931, 5.200000, 0.000000, 34.500000
1691084851344604015, 5.200000, 0.000000, 38.000000
1691084852500510931, 5.200000, 0.900000, 35.400000
1691084853576143980, 5.500000, 0.000000, 36.900000
1691084854799046039, 5.800000, 1.700000, 37.900000
1691084855895809888, 5.400000, 0.000000, 35.300000
1691084857015788078, 4.500000, 0.900000, 33.200000
1691084858124644994, 5.400000, 0.000000, 37.600000
1691084859248402118, 5.300000, 0.900000, 34.700000
1691084860435636043, 5.100000, 0.800000, 36.400000
1691084861575719118, 5.300000, 0.900000, 34.200000
1691084862823432922, 6.500000, 1.600000, 37.100000
1691084863937351942, 4.400000, 0.000000, 37.100000
1691084865066646099, 6.200000, 1.800000, 34.700000
1691084866163516044, 5.500000, 0.000000, 37.200000
1691084867265527963, 4.500000, 1.800000, 33.700000
1691084868411582946, 5.300000, 0.900000, 31.600000
1691084869480446100, 4.600000, 0.900000, 39.700000
1691084870677614927, 6.000000, 0.900000, 36.600000
1691084871786313056, 4.400000, 0.000000, 31.700000
1691084872952811002, 6.000000, 0.900000, 37.200000
1691084874070779085, 5.400000, 0.000000, 39.300000
1691084875203748941, 5.300000, 1.800000, 37.100000
1691084876367461919, 5.200000, 0.000000, 34.500000
1691084877475604057, 4.500000, 0.900000, 37.700000
1691084878631612062, 6.100000, 0.900000, 36.500000
1691084879708811044, 4.600000, 0.000000, 34.900000
1691084880925736904, 5.800000, 0.800000, 35.700000
1691084882072726964, 5.200000, 0.900000, 37.500000
1691084883201524972, 6.200000, 0.900000, 38.000000
1691084884404162883, 6.600000, 0.000000, 38.100000
1691084885496764898, 4.600000, 0.900000, 34.800000
1691084886626491069, 6.200000, 1.800000, 35.600000
1691084887826204061, 5.000000, 0.000000, 38.500000
1691084889008361101, 5.900000, 1.700000, 34.500000
1691084890199858903, 6.700000, 0.000000, 36.100000
1691084891400311946, 5.000000, 0.000000, 34.200000
1691084892515100002, 6.200000, 0.900000, 34.800000
1691084893674433946, 6.100000, 1.700000, 40.000000
1691084894855736017, 5.900000, 1.700000, 38.700000
1691084896072006940, 6.600000, 0.000000, 37.100000
1691084897258266925, 5.900000, 0.000000, 38.000000
1691084898440655946, 6.000000, 0.900000, 35.900000
1691084899580883979, 6.100000, 0.900000, 37.200000
1691084900775568962, 6.700000, 1.700000, 39.000000
1691084901919213056, 5.300000, 0.900000, 37.400000
1691084903166506052, 6.400000, 0.800000, 36.900000
1691084904354903936, 5.900000, 0.800000, 38.700000
1691084905587970018, 5.700000, 1.600000, 41.500000
1691084906774359941, 5.000000, 0.800000, 38.700000
1691084907993592023, 5.700000, 0.800000, 41.800000
1691084909195270061, 5.800000, 1.700000, 38.900000
1691084910375896930, 5.100000, 0.000000, 36.500000
1691084911498126029, 5.300000, 1.700000, 37.300000
1691084912716950893, 6.600000, 1.700000, 38.600000
1691084913888416051, 5.200000, 0.000000, 39.500000
1691084915072010040, 5.900000, 1.700000, 36.300000
1691084916255726099, 6.700000, 0.000000, 35.400000
1691084917442980051, 5.000000, 0.800000, 36.200000
1691084918681907892, 5.700000, 2.400000, 39.700000
1691084919838747978, 5.200000, 0.000000, 39.000000
1691084921031653881, 5.000000, 0.800000, 39.200000
1691084922231502056, 5.800000, 0.800000, 35.900000
1691084923437081098, 5.800000, 0.800000, 37.600000
1691084924629172086, 5.800000, 0.000000, 35.900000
1691084925803237915, 6.000000, 0.900000, 40.100000
1691084927015110015, 5.800000, 2.500000, 38.900000
