time, /cpu_monitor mem, /rosout mem, /record_1691084749065008229 mem
1691084759391259908, 38612992.000000, 17166336.000000, 25292800.000000
1691084760421603918, 38612992.000000, 17166336.000000, 25292800.000000
1691084761451441049, 38612992.000000, 17166336.000000, 25292800.000000
1691084762482414960, 38612992.000000, 17166336.000000, 25292800.000000
1691084763513103961, 38612992.000000, 17166336.000000, 25292800.000000
1691084764542047023, 38612992.000000, 17166336.000000, 25292800.000000
1691084765572237014, 38612992.000000, 17166336.000000, 25292800.000000
1691084766603178977, 38612992.000000, 17166336.000000, 25292800.000000
1691084767633512020, 38612992.000000, 17166336.000000, 25292800.000000
1691084768665158033, 38612992.000000, 17166336.000000, 25292800.000000
1691084769697436094, 38612992.000000, 17166336.000000, 25292800.000000
1691084770727930068, 38612992.000000, 17166336.000000, 25292800.000000
1691084771756628990, 38612992.000000, 17166336.000000, 25292800.000000
1691084772787030935, 38612992.000000, 17166336.000000, 25292800.000000
1691084773817643880, 38612992.000000, 17166336.000000, 25292800.000000
1691084774848943948, 38612992.000000, 17166336.000000, 25292800.000000
1691084775879374027, 38612992.000000, 17166336.000000, 25292800.000000
1691084776910332918, 38612992.000000, 17166336.000000, 25292800.000000
1691084777941148996, 38612992.000000, 17166336.000000, 25292800.000000
1691084778969825029, 38612992.000000, 17166336.000000, 25292800.000000
1691084779994524002, 38612992.000000, 17166336.000000, 25292800.000000
1691084781025765895, 38612992.000000, 17166336.000000, 25292800.000000
1691084782057358026, 38612992.000000, 17166336.000000, 25292800.000000
1691084783087868928, 38612992.000000, 17166336.000000, 25292800.000000
1691084784118474960, 38612992.000000, 17166336.000000, 25292800.000000
1691084785149455070, 38612992.000000, 17166336.000000, 25292800.000000
1691084786165676116, 38612992.000000, 17166336.000000, 25292800.000000
1691084787180110931, 38612992.000000, 17166336.000000, 25292800.000000
1691084788195456981, 38612992.000000, 17166336.000000, 25292800.000000
1691084789210715055, 38612992.000000, 17166336.000000, 25292800.000000
1691084790225482940, 38612992.000000, 17166336.000000, 25292800.000000
1691084791239896059, 38612992.000000, 17166336.000000, 25292800.000000
1691084792254235982, 38612992.000000, 17166336.000000, 25292800.000000
1691084793268233060, 38612992.000000, 17166336.000000, 25292800.000000
1691084795572556018, 38707200.000000, 17166336.000000, 25600000.000000
1691084796853307962, 38756352.000000, 17166336.000000, 25755648.000000
1691084797949776887, 38756352.000000, 17166336.000000, 25755648.000000
1691084799349879980, 38780928.000000, 17166336.000000, 26075136.000000
1691084800511934041, 38805504.000000, 17166336.000000, 26075136.000000
1691084801640116930, 38805504.000000, 17166336.000000, 26521600.000000
1691084802789084911, 38830080.000000, 17166336.000000, 26521600.000000
1691084803876313924, 38830080.000000, 17166336.000000, 26521600.000000
1691084804983972072, 38830080.000000, 17166336.000000, 26521600.000000
1691084806071787118, 38830080.000000, 17166336.000000, 26521600.000000
1691084807204443931, 38830080.000000, 17166336.000000, 26521600.000000
1691084808390719890, 38830080.000000, 17166336.000000, 26521600.000000
1691084809533734083, 38830080.000000, 17166336.000000, 26800128.000000
1691084810634145975, 38830080.000000, 17166336.000000, 26800128.000000
1691084811727471113, 38830080.000000, 17166336.000000, 26800128.000000
1691084812835567951, 38830080.000000, 17166336.000000, 26800128.000000
1691084813970628976, 38830080.000000, 17166336.000000, 26800128.000000
1691084815118304014, 38830080.000000, 17166336.000000, 26800128.000000
1691084816246742010, 38830080.000000, 17166336.000000, 26800128.000000
1691084817374830961, 38830080.000000, 17166336.000000, 26800128.000000
1691084818518811941, 38830080.000000, 17166336.000000, 26800128.000000
1691084819694864988, 38830080.000000, 17166336.000000, 26800128.000000
1691084820847343921, 38830080.000000, 17166336.000000, 26800128.000000
1691084821976213932, 38830080.000000, 17166336.000000, 26800128.000000
1691084823174010992, 38830080.000000, 17166336.000000, 26800128.000000
1691084824315887928, 38830080.000000, 17166336.000000, 26800128.000000
1691084825474047899, 38830080.000000, 17166336.000000, 26800128.000000
1691084826565489053, 38830080.000000, 17166336.000000, 26800128.000000
1691084827680589914, 38830080.000000, 17166336.000000, 26800128.000000
1691084828813165903, 38830080.000000, 17166336.000000, 26800128.000000
1691084829901253938, 38830080.000000, 17166336.000000, 26800128.000000
1691084831028871059, 38830080.000000, 17166336.000000, 26800128.000000
1691084832167143106, 38830080.000000, 17166336.000000, 26800128.000000
1691084833268824100, 38830080.000000, 17166336.000000, 26800128.000000
1691084834397587060, 38830080.000000, 17166336.000000, 26800128.000000
1691084835519377946, 38830080.000000, 17166336.000000, 27066368.000000
1691084836633341073, 38830080.000000, 17166336.000000, 27066368.000000
1691084837735600948, 38830080.000000, 17166336.000000, 27066368.000000
1691084838859721899, 38830080.000000, 17166336.000000, 27066368.000000
1691084839955394029, 38830080.000000, 17166336.000000, 27066368.000000
1691084841088815927, 38830080.000000, 17166336.000000, 27066368.000000
1691084842227742910, 38830080.000000, 17166336.000000, 27066368.000000
1691084843347172975, 38830080.000000, 17166336.000000, 27066368.000000
1691084844511121034, 38830080.000000, 17166336.000000, 27066368.000000
1691084845621787071, 38830080.000000, 17166336.000000, 27066368.000000
1691084846768665075, 38830080.000000, 17166336.000000, 27066368.000000
1691084847899379014, 38830080.000000, 17166336.000000, 27066368.000000
1691084849025085926, 38830080.000000, 17166336.000000, 27066368.000000
1691084850200300931, 38830080.000000, 17166336.000000, 27066368.000000
1691084851344604015, 38830080.000000, 17166336.000000, 27066368.000000
1691084852500510931, 38830080.000000, 17166336.000000, 27066368.000000
1691084853576143980, 38830080.000000, 17166336.000000, 27066368.000000
1691084854799046039, 38830080.000000, 17166336.000000, 27066368.000000
1691084855895809888, 38830080.000000, 17166336.000000, 27066368.000000
1691084857015788078, 38830080.000000, 17166336.000000, 27066368.000000
1691084858124644994, 38830080.000000, 17166336.000000, 27066368.000000
1691084859248402118, 38830080.000000, 17166336.000000, 27066368.000000
1691084860435636043, 38830080.000000, 17166336.000000, 27066368.000000
1691084861575719118, 38830080.000000, 17166336.000000, 27066368.000000
1691084862823432922, 38830080.000000, 17166336.000000, 27066368.000000
1691084863937351942, 38830080.000000, 17166336.000000, 27066368.000000
1691084865066646099, 38830080.000000, 17166336.000000, 27066368.000000
1691084866163516044, 38830080.000000, 17166336.000000, 27066368.000000
1691084867265527963, 38830080.000000, 17166336.000000, 27066368.000000
1691084868411582946, 38830080.000000, 17166336.000000, 27066368.000000
1691084869480446100, 38830080.000000, 17166336.000000, 27066368.000000
1691084870677614927, 38830080.000000, 17166336.000000, 27066368.000000
1691084871786313056, 38830080.000000, 17166336.000000, 27066368.000000
1691084872952811002, 38830080.000000, 17166336.000000, 27066368.000000
1691084874070779085, 38830080.000000, 17166336.000000, 27066368.000000
1691084875203748941, 38830080.000000, 17166336.000000, 27066368.000000
1691084876367461919, 38830080.000000, 17166336.000000, 27066368.000000
1691084877475604057, 38830080.000000, 17166336.000000, 27066368.000000
1691084878631612062, 38830080.000000, 17166336.000000, 27066368.000000
1691084879708811044, 38830080.000000, 17166336.000000, 27066368.000000
1691084880925736904, 38830080.000000, 17166336.000000, 27066368.000000
1691084882072726964, 38830080.000000, 17166336.000000, 27066368.000000
1691084883201524972, 38830080.000000, 17166336.000000, 27066368.000000
1691084884404162883, 38830080.000000, 17166336.000000, 27066368.000000
1691084885496764898, 38830080.000000, 17166336.000000, 27066368.000000
1691084886626491069, 38830080.000000, 17555456.000000, 27066368.000000
1691084887826204061, 38830080.000000, 17555456.000000, 27066368.000000
1691084889008361101, 38830080.000000, 17555456.000000, 27066368.000000
1691084890199858903, 38830080.000000, 17555456.000000, 27066368.000000
1691084891400311946, 38830080.000000, 17555456.000000, 27066368.000000
1691084892515100002, 38830080.000000, 17555456.000000, 27066368.000000
1691084893674433946, 38830080.000000, 17555456.000000, 27066368.000000
1691084894855736017, 38830080.000000, 17555456.000000, 27066368.000000
1691084896072006940, 38830080.000000, 17555456.000000, 27066368.000000
1691084897258266925, 38830080.000000, 17555456.000000, 27066368.000000
1691084898440655946, 38830080.000000, 17555456.000000, 27066368.000000
1691084899580883979, 38830080.000000, 17555456.000000, 27066368.000000
1691084900775568962, 38830080.000000, 17555456.000000, 27066368.000000
1691084901919213056, 38830080.000000, 17555456.000000, 27066368.000000
1691084903166506052, 38830080.000000, 17555456.000000, 27066368.000000
1691084904354903936, 38830080.000000, 17555456.000000, 27066368.000000
1691084905587970018, 38830080.000000, 17555456.000000, 27066368.000000
1691084906774359941, 38830080.000000, 17555456.000000, 27066368.000000
1691084907993592023, 38830080.000000, 17555456.000000, 27066368.000000
1691084909195270061, 38830080.000000, 17555456.000000, 27066368.000000
1691084910375896930, 38830080.000000, 17555456.000000, 27066368.000000
1691084911498126029, 38830080.000000, 17555456.000000, 27066368.000000
1691084912716950893, 38830080.000000, 17555456.000000, 27066368.000000
1691084913888416051, 38830080.000000, 17555456.000000, 27066368.000000
1691084915072010040, 38830080.000000, 17555456.000000, 27066368.000000
1691084916255726099, 38830080.000000, 17555456.000000, 27066368.000000
1691084917442980051, 38830080.000000, 17555456.000000, 27066368.000000
1691084918681907892, 38830080.000000, 17555456.000000, 27066368.000000
1691084919838747978, 38830080.000000, 17555456.000000, 27066368.000000
1691084921031653881, 38830080.000000, 17555456.000000, 27066368.000000
1691084922231502056, 38830080.000000, 17555456.000000, 27066368.000000
1691084923437081098, 38830080.000000, 17555456.000000, 27066368.000000
1691084924629172086, 38830080.000000, 17555456.000000, 27066368.000000
1691084925803237915, 38830080.000000, 17555456.000000, 27066368.000000
1691084927015110015, 38830080.000000, 17555456.000000, 27066368.000000
1691084928212162017, 38830080.000000, 17555456.000000, 27066368.000000
1691084929377284049, 38830080.000000, 17555456.000000, 27066368.000000
1691084930567050933, 38830080.000000, 17555456.000000, 27066368.000000
1691084931719552040, 38830080.000000, 17555456.000000, 27066368.000000
1691084932867609024, 38830080.000000, 17555456.000000, 27066368.000000
1691084934008877992, 38830080.000000, 17555456.000000, 27066368.000000
1691084935183514118, 38830080.000000, 17555456.000000, 27066368.000000
1691084936284288883, 38830080.000000, 17555456.000000, 27066368.000000
1691084937462006092, 38830080.000000, 17555456.000000, 27066368.000000
1691084938609253883, 38830080.000000, 17555456.000000, 27066368.000000
1691084939752507925, 38830080.000000, 17555456.000000, 27066368.000000
1691084940954413890, 38830080.000000, 17555456.000000, 27066368.000000
1691084942075031042, 38830080.000000, 17555456.000000, 27066368.000000
1691084943245945930, 38830080.000000, 17555456.000000, 27066368.000000
1691084944414974927, 38830080.000000, 17555456.000000, 27066368.000000
1691084945630294084, 38830080.000000, 17555456.000000, 27066368.000000
1691084946755434989, 38830080.000000, 17555456.000000, 27066368.000000
1691084947941051006, 38830080.000000, 17555456.000000, 27066368.000000
1691084949149724006, 38830080.000000, 17555456.000000, 27066368.000000
1691084950309797048, 38830080.000000, 17555456.000000, 27066368.000000
1691084951420351982, 38830080.000000, 17555456.000000, 27066368.000000
1691084952566879034, 38830080.000000, 17555456.000000, 27066368.000000
1691084953726571083, 38830080.000000, 17555456.000000, 27066368.000000
1691084954859739065, 38830080.000000, 17555456.000000, 27066368.000000
1691084955966842889, 38830080.000000, 17555456.000000, 27066368.000000
1691084957122757911, 38830080.000000, 17555456.000000, 27066368.000000
1691084958276686906, 38830080.000000, 17555456.000000, 27066368.000000
1691084959421047925, 38830080.000000, 17555456.000000, 27066368.000000
1691084960549685001, 38830080.000000, 17555456.000000, 27066368.000000
1691084961678152084, 38830080.000000, 17555456.000000, 27066368.000000
1691084962863035917, 38830080.000000, 17555456.000000, 27066368.000000
1691084964006361007, 38830080.000000, 17555456.000000, 27066368.000000
1691084965199671983, 38830080.000000, 17555456.000000, 27066368.000000
1691084966377355098, 38830080.000000, 17555456.000000, 27066368.000000
1691084967617326021, 38830080.000000, 17555456.000000, 27066368.000000
